checkout_id,member_id,book_id,checkout_date,return_date
9350,1080,501,2025-06-22,2025-07-17
9345,1075,507,2025-02-03,2025-03-01
9195,1024,507,2025-02-22,2025-03-17
9325,1072,519,2024-01-11,2025-01-11
9245,1044,519,2024-12-13,2024-12-21
9146,1034,509,2025-02-23,2025-03-14
9379,1062,501,2024-12-18,2024-12-26
9374,1080,505,2024-08-05,2024-08-12
9107,1024,505,2024-09-24,2024-10-12
9029,1005,507,2025-03-07,2025-03-29
9108,1024,507,2025-02-02,2025-02-27
9201,1055,531,2025-11-24,2025-12-16
9253,1058,507,2025-06-15,2025-07-10
9334,1065,507,2025-12-20,2026-01-05
9160,1030,501,2024-06-20,2024-07-07
9180,1034,529,2024-07-27,2024-08-02
9344,1076,507,2024-09-12,2025-01-11
9004,1013,519,2025-07-27,2025-08-16
9224,1057,513,2025-05-25,2025-01-11
9235,1047,516,2024-02-16,2025-01-11
9118,1030,507,2024-05-12,2025-01-11
9381,1079,507,2025-05-30,2025-06-18
9071,1003,503,2024-03-25,2024-04-09
9220,1047,507,2025-08-04,2025-01-11
9167,1028,503,2025-12-24,2026-01-02
9320,1073,501,2025-07-19,2025-08-13
9300,1061,528,2024-08-15,2024-09-02
9364,1077,513,2024-08-18,2024-09-07
9035,1020,501,2024-08-01,2024-08-23
9382,1076,507,2025-02-26,2025-03-08
9133,1034,519,2025-05-28,2025-06-24
9276,1050,514,2025-06-28,2025-07-08
9104,1018,507,2024-05-15,2025-01-11
9367,1079,507,2024-03-19,2024-03-28
9373,1079,508,2024-03-20,2024-04-19
9217,1047,530,2024-04-07,2025-01-11
9022,1010,507,2025-11-14,2025-12-03
9065,1016,509,2024-12-21,2025-01-11
9099,1018,506,2025-10-10,2025-11-09
9109,1034,512,2024-08-20,2024-09-14
9086,1018,501,2024-06-20,2024-06-29
9089,1010,507,2025-06-22,2025-07-22
9230,1050,501,2025-09-10,2025-10-07
9062,1010,520,2024-07-28,2024-08-26
9076,1008,529,2025-12-12,2025-12-20
9265,1049,513,2024-08-12,2024-09-10
9258,1050,529,2025-12-07,2025-12-21
9203,1057,501,2025-10-25,2025-01-11
9041,1010,506,2025-02-22,2025-03-19
9154,1030,525,2025-05-18,2025-05-26
9285,1071,513,2025-02-24,2025-01-11
9121,1027,522,2025-02-24,2025-03-14
9244,1050,507,2025-04-23,2025-05-06
9275,1047,507,2025-09-21,2025-10-08
9215,1044,507,2024-02-07,2025-01-11
9268,1047,503,2025-06-16,2025-07-14
9314,1072,522,2024-08-13,2024-09-02
9299,1072,521,2024-01-04,2024-01-23
9353,1075,528,2025-12-13,2025-12-30
9117,1026,501,2025-09-13,2025-01-11
9212,1044,512,2024-09-14,2025-01-11
9278,1047,506,2024-03-12,2024-04-02
9177,1027,513,2024-01-18,2025-01-11
9044,1018,503,2024-10-07,2025-01-11
9329,1062,513,2025-03-06,2025-01-11
9078,1008,521,2024-09-21,2024-10-12
9032,1011,501,2024-11-24,2024-12-11
9289,1072,522,2025-09-09,2025-09-19
9138,1039,516,2025-08-22,2025-08-31
9306,1074,510,2024-08-03,2024-08-10
9239,1050,519,2025-02-10,2025-02-22
9226,1044,519,2025-03-18,2025-01-11
9135,1034,506,2025-01-12,2025-01-28
9023,1018,503,2025-08-04,2025-08-27
9229,1047,501,2025-11-16,2025-12-08
9096,1022,501,2025-02-17,2025-03-17
9312,1068,506,2025-12-01,2025-01-11
9196,1030,526,2025-01-15,2025-02-02
9190,1030,502,2025-12-04,2025-12-18
9095,1002,507,2024-06-25,2024-07-07
9199,1053,518,2024-11-28,2024-12-08
9279,1047,514,2025-07-06,2025-07-28
9047,1007,507,2024-10-11,2024-10-24
9351,1075,514,2024-01-03,2024-01-28
9251,1046,507,2024-06-09,2025-01-11
9242,1047,520,2025-06-01,2025-07-01
9204,1057,506,2024-02-20,2024-03-15
9158,1040,513,2025-03-07,2025-03-24
9060,1010,527,2024-05-20,2024-05-28
9243,1060,513,2025-09-13,2025-10-09
9042,1010,509,2024-02-28,2025-01-11
9150,1024,507,2025-10-14,2025-10-24
9377,1034,507,2025-03-25,2025-04-06
9356,1076,501,2025-03-14,2025-04-13
9014,1010,519,2024-06-28,2024-07-20
9346,1076,519,2024-04-27,2025-01-11
9103,1003,513,2025-09-04,2025-09-25
9246,1044,529,2025-06-25,2025-07-04
9308,1072,525,2024-02-17,2024-03-12
9321,1070,501,2025-12-28,2026-01-09
9045,1008,520,2024-05-28,2025-01-11
9219,1047,506,2025-05-13,2025-06-07
9002,1020,515,2024-12-06,2024-12-11
9185,1026,519,2025-10-22,2025-11-01
9359,1077,501,2025-01-26,2025-01-11
9079,1008,520,2025-12-27,2026-01-05
9252,1054,513,2024-08-04,2024-08-09
9282,1057,530,2025-07-22,2025-08-18
9293,1071,525,2025-08-05,2025-08-18
9202,1047,506,2025-06-05,2025-07-03
9026,1018,506,2025-04-21,2025-05-04
9050,1003,521,2025-08-21,2025-01-11
9122,1034,525,2025-06-04,2025-06-30
9153,1030,530,2024-10-12,2024-10-26
9145,1034,501,2025-11-10,2025-12-10
9339,1073,501,2025-02-02,2025-01-11
9136,1030,532,2024-10-03,2024-10-20
9277,1057,519,2025-10-19,2025-10-28
9284,1062,513,2025-09-27,2025-10-26
9210,1044,507,2025-09-11,2025-09-29
9098,1008,525,2024-12-15,2024-12-31
9106,1034,501,2025-08-20,2025-08-27
9170,1034,522,2025-10-16,2025-10-28
9028,1017,507,2025-01-19,2025-01-28
9081,1017,502,2025-08-25,2025-09-17
9223,1050,510,2024-04-11,2024-05-04
9311,1065,507,2025-06-26,2025-07-09
9085,1018,525,2025-08-19,2025-09-18
9335,1065,513,2024-12-18,2024-12-30
9221,1055,520,2025-04-12,2025-04-18
9016,1016,527,2024-12-03,2024-12-11
9361,1075,524,2024-04-19,2025-01-11
9248,1044,514,2025-07-01,2025-07-18
9315,1068,501,2024-06-11,2024-07-04
9305,1062,519,2024-01-23,2024-01-31
9174,1024,528,2025-12-16,2026-01-07
9048,1003,519,2024-12-03,2025-01-01
9281,1044,525,2024-06-01,2024-06-12
9039,1018,513,2024-07-21,2024-08-10
9083,1011,516,2025-10-02,2025-10-09
9088,1003,519,2025-09-17,2025-10-03
9176,1027,501,2024-11-08,2024-11-26
9054,1013,510,2024-11-21,2025-01-11
9134,1037,516,2025-09-08,2025-09-19
9164,1034,507,2024-12-02,2024-12-12
9011,1022,513,2024-03-17,2025-01-11
9151,1034,528,2025-04-25,2025-05-16
9018,1003,522,2025-06-12,2025-06-24
9038,1007,506,2024-07-15,2024-08-12
9232,1044,513,2025-05-26,2025-06-11
9084,1008,511,2024-06-27,2024-07-22
9116,1024,519,2025-01-10,2025-02-09
9352,1076,501,2025-02-02,2025-01-11
